"2025–26 ISIR Record Layout 
203,38f,1847,1857,11,None,Untaxed Portions of Pensions,"0 to 99999999999
Blank",
204,38g,1858,1868,11,None,Pension Rollover,"0 to 99999999999
Blank",
205,38h,1869,1878,10,None,Adjusted Gross Income,"-999999999 to 999999999
Blank",
206,38i,1879,1887,9,None,Income Tax Paid,"0 to 999999999
Blank",
207,38j,1888,1888,1,None,Earned Income Tax Credit Received During Tax Year?,"1 = Yes
2 = No
3 = Don't Know
Blank",
208,38k,1889,1899,11,None,"Deductible Payments to IRA, Keogh, Other","0 to 99999999999
Blank",
209,38l,1900,1908,9,None,Education Credits,"0 to 999999999
Blank",
210,38m,1909,1909,1,None,"Filed Schedule A, B, D, E, F or H?","1 = Yes
2 = No
3 = Don't Know
Blank",
211,38n,1910,1921,12,None,Schedule C Amount,"-99999999999 to 99999999999
Blank",
212,38o,1922,1928,7,None,College Grant and Scholarship Aid ,"0 to 9999999
Blank",
213,38p,1929,1938,10,None,Foreign Earned Income Exclusion,"-999999999 to 999999999
Blank",
214,"Annual Child Support Received 
39",1939,1945,7,None,Child Support Received,"0 to 9999999
Blank",
215,"Parent Assets
40a",1946,1952,7,None,"Total of Cash, Savings, and Checking Accounts ","0 to 9999999
Blank",
216,40b,1953,1959,7,None,Net Worth of Current Investments,"0 to 9999999
Blank",
217,40c,1960,1966,7,None,Net Worth of Businesses and Investment Farms,"0 to 9999999
Blank",
218,"Parent Consent, Approval, and Signature
41a",1967,1967,1,None,Consent to Retrieve and Disclose FTI ,"1 = Granted
2 = Not Granted
Blank",
219,41b,1968,1968,1,None,Signature,"1 = Yes
Blank",
220,41c,1969,1976,8,Revised valid content,Signature Date,"Format is CCYYMMDD
20241001 to 20260930
Blank",
221,N/A ,1977,2026,50,None,Filler: Parent,For Federal Student Aid use only,
"Parent Spouse or Partner Demographic, Identity, and Contact Information",,,,,,,,
222,"Parent Spouse or Partner Identity
42a",2027,2061,35,None,First Name,"First character must contain a letter and second character must be non-numeric
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
223,42b,2062,2076,15,None,Middle Name,"First character must contain a letter
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
224,42c,2077,2111,35,None,Last Name,"First character must contain a letter and second character must be non-numeric
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
225,42d,2112,2121,10,None,Suffix,"Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
226,42e,2122,2129,8,Revised valid content,Date of Birth,"19000101 to current date
Numeric within valid range. 
Format is CCYYMMDD where MM is 01 to 12, (CC is 19 and YY is 00 to 99) or (CC is 20 and YY is 00 to 25). Valid day range depending on month (see table below).

Month Valid Day Range
 01	01-31
 02	01 to 28 (unless year is divisible by 4 for non-centurial years or 400 for centurial years, then 01 to 29 is valid)
 03	01-31
 04	01-30
 05	01-31
 06	01-30
 07	01-31
 08	01-31
 09	01-30
 10	01-31
 11	01-30
 12	01-31
Blank",
227,42f,2130,2138,9,None,Social Security Number,"000000000 to 999999999
Blank",
228,42g,2139,2147,9,None,ITIN,"900000000 to 999999999
Blank",
229,43a,2148,2157,10,None,Phone Number,"0000000000 to 9999999999
Blank",
230,43b,2158,2207,50,None,Email Address,"1. One and only one at-sign '@' allowed.
2. Before the at-sign:
-at least one valid character
-all characters in the range of ASCII 33 – 126, except for the following thirteen characters: < > ( ) [ ] \ , ; : "" @ ^
-period cannot be first, last or adjacent to another period.
3. After the at-sign:
-at least one valid character
-only letters, digits, hyphen, underscore and period (A to Z, A to Z, 0 to 9, -, _, .)
-Hyphen, underscore and period cannot be first, last, or adjacent to a period
Blank",
231,43c,2208,2247,40,None,Street Address,"If non-blank, first character must be non-blank.
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
# (number)
@ (at)
& (ampersand)
/ (slash)
, (comma)
 (spaces)
Blank",
232,43d,2248,2277,30,None,City,"If non-blank, first character must be non-blank.
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
/ (slash)
, (comma)
 (spaces)
Blank",
233,43e,2278,2279,2,None,State,"Valid two letter code (See State Codes in FAFSA Specifications Guide, Volume 4B.)
Blank",
234,43f,2280,2289,10,None,Zip Code,"Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
- (dash)
 (space)
Blank",
235,43g,2290,2291,2,None,Country,"Valid two letter code (See Country Codes in FAFSA Specifications Guide, Volume 4B.)
Blank",
"Parent Spouse or Partner Manually Entered Financial Information, Consent, Approval, and Signature",,,,,,,,
236,"Parent Spouse or Partner Tax Filing Status
44a",2292,2292,1,None,Filed 1040 or 1040NR,"1 = Yes
2 = No
Blank",
237,44b,2293,2293,1,None,Filed non-U.S. tax return,"1 = Filed or will file a tax return with Puerto Rico or another U.S. territory
2 = Filed or will file a foreign tax return
3 = Did not and will not file a foreign tax return – earned income in a foreign country or employee of an international organization that did not require tax filing
4 = Did not and will not file a U.S. tax return – earned U.S. income below the tax filing threshold
5 = Did not and will not file a U.S. tax return – reasons other than low income
6 = Did not and will not file any tax return – no earned income
Blank",
238,"Parent Spouse or Partner 20xx Tax Return Information
45a",2294,2294,1,None,Tax Return Filing Status,"1 = Single
2 = Married-Filed Joint Return
3 = Married-Filed Separate Return
4 = Head of Household
5 = Qualifying surviving spouse
Blank",
239,45b,2295,2305,11,None,Income Earned from Work,"0 to 99999999999
Blank",
240,45c,2306,2316,11,None,Tax Exempt Interest Income,"0 to 99999999999
Blank",
241,45d,2317,2327,11,None,Untaxed Portions of IRA Distributions,"0 to 99999999999
Blank",
242,45e,2328,2338,11,None,IRA Rollover,"0 to 99999999999
Blank",
243,45f,2339,2349,11,None,Untaxed Portions of Pensions,"0 to 99999999999
Blank",
244,45g,2350,2360,11,None,Pension Rollover,"0 to 99999999999
Blank",
245,45h,2361,2370,10,None,Adjusted Gross Income,"-999999999 to 999999999
Blank",
246,45i,2371,2379,9,None,Income Tax Paid,"0 to 999999999
Blank",
247,45j,2380,2390,11,None,"Deductible Payments to IRA, Keogh, Other","0 to 99999999999
Blank",
248,45k,2391,2399,9,None,Education Credits,"0 to 999999999
Blank",
249,45l,2400,2400,1,None,"Filed Schedule A, B, D, E, F or H?","1 = Yes
2 = No
3 = Don't Know
Blank",
250,45m,2401,2412,12,None,Schedule C Amount,"-99999999999 to 99999999999
Blank",
251,45n,2413,2422,10,None,Foreign Earned Income Exclusion,"-999999999 to 999999999
Blank",
252,"Parent Spouse or Partner Consent, Approval, and Signature 
46a",2423,2423,1,None,Consent to Retrieve and Disclose FTI ,"1 = Granted
2 = Not Granted
Blank",
253,46b,2424,2424,1,None,Signature,"1 = Yes
Blank",
254,46c,2425,2432,8,Revised valid content,Signature Date,"Format is CCYYMMDD
20241001 to 20260930
Blank",
255,N/A ,2433,2482,50,None,Filler: Parent Spouse or Partner,For Federal Student Aid use only,
"Preparer Information
Indicates that a preparer filled out the application and provided their credentials",,,,,,,,
256,"Preparer Identity
47a",2483,2517,35,None,First Name,"First character must contain a letter and second character must be non-numeric
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
257,47b,2518,2552,35,None,Last Name,"First character must contain a letter and second character must be non-numeric
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
 (space)
Blank",
258,47c,2553,2561,9,None,Social Security Number,"001010001 to 999999999
Blank
",
259,47d,2562,2570,9,None,EIN,"000000000 to 999999999
Blank",
260,"Preparer Information
48a",2571,2600,30,None,Affiliation,"If non-blank, first character must be non-blank.
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
# (number)
@ (at)
% (percent or care of)
& (ampersand)
/ (slash)
, (comma)
 (spaces)
Blank",
261,48b,2601,2640,40,None,Street Address,"If non-blank, first character must be non-blank.
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
# (number)
@ (at)
& (ampersand)
/ (slash)
, (comma)
 (spaces)
Blank",
262,48c,2641,2670,30,None,City,"If non-blank, first character must be non-blank.
Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
. (period)
- (dash)
' (apostrophe)
/ (slash)
, (comma)
 (spaces)
Blank",
263,48d,2671,2672,2,None,State,"Valid two letter code (See State Codes in FAFSA Specifications Guide, Volume 4B.)
Blank",
264,48e,2673,2682,10,None,Zip Code,"Alphanumeric: 0 to 9 and uppercase and lowercase A to Z
- (dash)
 (space)
Blank",
265,"Preparer Signature
49a",2683,2683,1,None,Signature,"1 = Yes
Blank",
266,49b,2684,2691,8,Revised valid content,Signature Date,"Format is CCYYMMDD
20241001 to 20260930
Blank",
267,N/A ,2692,2741,50,None,Filler: Preparer,For Federal Student Aid use only,
 FPS Processing Information,,,,,,,,
268,N/A ,2742,2742,1,None,Student Affirmation Status ,"1 = Yes
Blank",
269,N/A ,2743,2743,1,None,Student Spouse Affirmation Status ,"1 = Yes
Blank",
270,N/A ,2744,2744,1,None,Parent Affirmation Status ,"1 = Yes
Blank",
271,N/A ,2745,2745,1,None,Parent Spouse or Partner Affirmation Status ,"1 = Yes
Blank",
272,N/A ,2746,2753,8,Revised valid content,Student Date Consent Granted,"Numeric within valid date range; 19000101 to 20261231
Format is CCYYMMDD
Blank",
273,N/A ,2754,2761,8,Revised valid content,Student Spouse Date Consent Granted,"Numeric within valid date range; 19000101 to 20261231
Format is CCYYMMDD
Blank",
274,N/A ,2762,2769,8,Revised valid content,Parent Date Consent Granted,"Numeric within valid date range; 19000101 to 20261231
Format is CCYYMMDD
Blank",
275,N/A ,2770,2777,8,Revised valid content,Parent Spouse or Partner Date Consent Granted,"Numeric within valid date range; 19000101 to 20261231
Format is CCYYMMDD
Blank",
276,N/A ,2778,2778,1,None,Student Transunion Match Status ,"1 = No match
2 = Date of birth mismatch 
3 = First name mismatch
4 = Last name mismatch
5 = Address mismatch
6 = Full match
7 = Inconclusive
Blank = Not needed",
277,N/A ,2779,2779,1,None,Student Spouse Transunion Match Status ,"1 = No match
2 = Date of birth mismatch 
3 = First name mismatch
4 = Last name mismatch
5 = Address mismatch
6 = Full match
7 = Inconclusive
Blank = Not needed",
278,N/A ,2780,2780,1,None,Parent Transunion Match Status ,"1 = No match
2 = Date of birth mismatch 
3 = First name mismatch
4 = Last name mismatch
5 = Address mismatch
6 = Full match
7 = Inconclusive
Blank = Not needed",
279,N/A ,2781,2781,1,None,Parent Spouse or Partner Transunion Match Status ,"1 = No match
2 = Date of birth mismatch 
3 = First name mismatch
4 = Last name mismatch
5 = Address mismatch
6 = Full match
7 = Inconclusive
Blank = Not needed",
280,N/A ,2782,2783,2,None,Correction Applied against Transaction Number,"01 to 99
Blank = Transaction not a result of a correction",
281,N/A ,2784,2784,1,None,Professional Judgment,"1 = Yes
2 = Failed professional judgment
Blank = No professional judgment requested",
282,N/A ,2785,2785,1,None,Dependency Override Indicator,"1 = Dependent to Independent Override
2 = Override Canceled
3 = Failed Dependency Override
Blank = No FAA override",
283,N/A ,2786,2791,6,None,FAA Federal School Code,"X00000 to X99999
Valid characters for first position are 0 (zero), B, E, or G
Blank = Always blank on school and servicer ISIRs; for state agencies, no dependency override or professional judgment done",
284,N/A ,2792,2792,1,None,FAA Signature,"1 = Yes
Blank",
285,N/A ,2793,2793,1,None,IASG indicator,"1 = Eligible for IASG
2 = Eligible, grandfathered for IASG
3 = Not Eligible for IASG
Blank = No Determination",
286,N/A ,2794,2794,1,None,Children of Fallen Heroes Indicator,"1 = Eligible for CFH
2 = Eligible, grandfathered for CFH
3 = Not Eligible for CFH
Blank = No Determination",
287,N/A ,2795,2801,7,None,Electronic Transaction Indicator (ETI) Destination Number,"“FTXXXXX” where XXXXX is the 5-digit alphanumeric code assigned by SAIG staff
Blank",
288,N/A ,2802,2802,1,None,Student Signature Source,"1 = Paper
2 = FSA ID
3 = FAA or EDE
Blank",
289,N/A ,2803,2803,1,None,Student Spouse Signature Source,"1 = Paper
2 = FSA ID
3 = FAA or EDE
Blank",
290,N/A ,2804,2804,1,None,Parent Signature Source,"1 = Paper
2 = FSA ID
3 = FAA or EDE
Blank",
291,N/A ,2805,2805,1,None,Parent Spouse or Partner Signature Source,"1 = Paper
2 = FSA ID
3 = FAA or EDE
Blank",
292,N/A ,2806,2806,1,None,"Special Handling Indicator
","* = Damaged Form
@ = ED Special Handle Request
D = Applicant younger than 13 at startup
C = Incarcerated applicant
Blank = No special handling required",
293,N/A ,2807,2807,1,None,Address Only Change Flag,"1 = Correction to student fields
2 = Correction to student spouse fields
3 = Correction to parent fields
4 = Correction to parent spouse fields
5 = Correction to student and contributor fields
Blank = No change ",
294,N/A ,2808,2808,1,None,FPS Pushed ISIR Flag,"Y = Transaction automatically sent to school
Blank = Transaction not automatically sent to school",
295,N/A ,2809,2809,1,None,Reject Status Change Flag ,"Y = Reject status has changed 
Blank = No change to reject status ",
296,N/A ,2810,2811,2,None,Verification Tracking Flag ,"V1 = Standard Verification Group 
V2 = For Federal Student Aid use only 
V3 = For Federal Student Aid use only 
V4 = Custom Verification Group 
V5 = Aggregate Verification Group 
V6 = For Federal Student Aid Use only 
Blank ",
297,N/A ,2812,2812,1,None,Student Is Selected For Verification ,"Y = Selected
N = Not selected
* = A subsequent transaction was selected for verification ",
298,N/A ,2813,2813,1,None,Incarcerated Applicant Flag,"1 = Correctional Facility Address File 
2 = Received via Incarcerated P.O. Box 
3 = Incarcerated Applicant Flag set by FAA
4 = Incarcerated Applicant Flag removed by FAA
Blank",
299,N/A ,2814,2815,2,None,NSLDS Transaction Number ,"01 to 99 
Blank ",
300,N/A ,2816,2816,1,None,NSLDS Database Results Flag ,"1 = Record matched, data sent 
2 = SSN match, no name or date of birth match, no data sent 
3 = SSN not found in NSLDS 
4 = Full match, no relevant data to send 
5 = Real-time transaction not sent to NSLDS 
Blank = Record not sent, all NSLDS fields will be blank ",
301,N/A ,2817,2817,1,None,High School Flag,"Y = Reported High School not found on valid high school file 
Blank ",
302,N/A ,2818,2829,12,None,Student Total Federal Work Study Earnings,"0 to 999999999999 
Blank",
303,N/A ,2830,2841,12,None,Student Spouse Total Federal Work Study Earnings,"0 to 999999999999 
Blank",
304,N/A ,2842,2853,12,None,Parent Total Federal Work Study Earnings,"0 to 999999999999 
Blank",
305,N/A ,2854,2865,12,None,Parent Spouse or Partner Total Federal Work Study Earnings,"0 to 999999999999 
Blank",
306,N/A ,2866,2880,15,None,Total Parent Allowances Against Income,"0 to 999999999999999 
Blank",
307,N/A ,2881,2895,15,None,Parent Payroll Tax Allowance,"0 to 999999999999999 
Blank",
308,N/A ,2896,2910,15,None,Parent Income Protection Allowance (IPA),"0 to 999999999999999 
Blank",
309,N/A ,2911,2925,15,None,Parent Employment Expense Allowance (PEEA),"0 to 999999999999999 
Blank",
310,N/A ,2926,2940,15,None,Parent Available Income (PAI),"-99999999999999 to 999999999999999
Blank",
311,N/A ,2941,2955,15,None,Parent Adjusted Available Income (PAAI),"-99999999999999 to 999999999999999
Blank",
312,N/A ,2956,2970,15,Revised valid content,Parent Contribution (PC),"-1826 to 999999999999999 
Blank",
313,N/A ,2971,2985,15,None,Student Payroll Tax Allowance,"0 to 999999999999999 
Blank",
314,N/A ,2986,3000,15,None,Student Income Protection Allowance (IPA),"0 to 999999999999999 
Blank",
315,N/A ,3001,3015,15,None,Student Allowance for Parents’ Negative Adjusted Available Income,"0 to 999999999999999 
Blank",
316,N/A ,3016,3030,15,None,Student Employment Expense Allowance (SEEA),"0 to 999999999999999 
Blank",
317,N/A ,3031,3045,15,None,Total Student Allowances Against Income,"0 to 999999999999999 
Blank",
318,N/A ,3046,3060,15,None,Student Available Income (StAI),"-99999999999999 to 999999999999999
Blank",
319,N/A ,3061,3075,15,None,Student Contribution from Income (SCI),"-99999999999999 to 999999999999999
Blank",
320,N/A ,3076,3090,15,None,Student Adjusted Available Income (SAAI),"-99999999999999 to 999999999999999
Blank",
321,N/A ,3091,3105,15,Revised valid content,Total Student Contribution from SAAI,"-1826 to 999999999999999 
Blank",
322,N/A,3106,3112,7,None,Parent Discretionary Net Worth (PDNW) ,"0 to 9999999
Blank",
323,N/A,3113,3119,7,None,Parent Net Worth (PNW) ,"0 to 9999999
Blank",
324,N/A,3120,3131,12,None,Parent Asset Protection Allowance (PAPA),"0 to 999999999999
Blank",
325,N/A,3132,3143,12,None,Parent Contribution from Assets (PCA),"0 to 999999999999
Blank",
326,N/A,3144,3150,7,None,Student Net Worth (SNW) ,"0 to 9999999
Blank",
327,N/A,3151,3162,12,None,Student Asset Protection Allowance (SAPA),"0 to 999999999999
Blank",
328,N/A,3163,3174,12,None,Student Contribution from Assets (SCA),"0 to 999999999999
Blank",
329,N/A,3175,3177,3,None,Assumed Student Family Size,"1 to 198
Blank",
330,N/A,3178,3180,3,None,Assumed Parent Family Size,"1 to 297
Blank",
"Correction, Highlight, and Verify Flags
The following FAFSA fields have a Correction Flag, Highlight Flag and Verify Flag. These flags are grouped together with the Correction Flag as the first character, the Highlight Flag as the second character followed by the Verify Flag as the last character. The valid content for all fields in this section are as follows:
Correction Flag 
  0 = No correction made
  1= Field corrected on this transaction (i.e., changed to another value; a correction from blank to zero is also considered a correction)
  2 = Field corrected on previous transaction (i.e., changed to another value; a correction from blank to zero is also considered a correction)
Highlight Flag
  0 = No highlight made
  1 = Field highlighted
Verify Flag
  0 = Verification not needed
  1 = Reentered to the same value
  2 = Verification needed",,,,,,,,
331,N/A ,3181,3183,3,None,"Student First Name Correction, Highlight, and Verify flags","See description in the Correction, Highlight, and Verify Flags heading above.",
332,N/A ,3184,3186,3,None,"Student Middle Name Correction, Highlight, and Verify flags","See description in the Correction, Highlight, and Verify Flags heading above.",
333,N/A ,3187,3189,3,None,"Student Last Name Correction, Highlight, and Verify flags","See description in the Correction, Highlight, and Verify Flags heading above.",
334,N/A ,3190,3192,3,None,"Student Suffix Correction, Highlight, and Verify flags","See description in the Correction, Highlight, and Verify Flags heading above.",
335,N/A ,3193,3195,3,None,"Student Date of Birth Correction, Highlight, and Verify flags","See description in the Correction, Highlight, and Verify Flags heading above.",
336,N/A ,3196,3198,3,None,"Student Social Security Number Correction, Highlight, and Verify flags","See description in the Correction, Highlight, and Verify Flags heading above.",
337,N/A ,3199,3201,3,None,"Student ITIN Correction, Highlight, and Verify flags","See description in the Correction, Highlight, and Verify Flags heading above.",
338,N/A ,3202,3204,3,None,"Student Phone Number Correction, Highlight, and Verify flags","See description in the Correction, Highlight, and Verify Flags heading above.",
339,N/A ,3205,3207,3,None,"Student Email Address Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
340,N/A ,3208,3210,3,None,"Student Street Address Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
341,N/A ,3211,3213,3,None,"Student City Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
342,N/A ,3214,3216,3,None,"Student State Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
343,N/A ,3217,3219,3,None,"Student Zip Code Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
344,N/A ,3220,3222,3,None,"Student Country Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
345,N/A ,3223,3225,3,None,"Student Marital Status Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
346,N/A ,3226,3228,3,Revised field name,"Student Grade Level in College 2025–26 Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
347,N/A ,3229,3231,3,Revised field name,"Student First Bachelor's Degree Before 2025–26 School Year Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
348,N/A ,3232,3234,3,None,"Student Pursuing Teacher Certification? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
349,N/A ,3235,3237,3,None,"Student Active Duty? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
350,N/A ,3238,3240,3,None,"Student Veteran? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
351,N/A ,3241,3243,3,None,"Student Child or Other Dependents? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
352,N/A ,3244,3246,3,None,"Student Parents Deceased? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
353,N/A ,3247,3249,3,None,"Student Ward of Court? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
354,N/A ,3250,3252,3,None,"Student In Foster Care? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
355,N/A ,3253,3255,3,None,"Student Emancipated Minor? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
356,N/A ,3256,3258,3,None,"Student Legal Guardianship? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
357,N/A ,3259,3261,3,None,"Student None of the above (Personal Circumstances) Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
358,N/A ,3262,3264,3,None,"Student Unaccompanied Homeless Youth, or is Unaccompanied, At Risk of Homelessness, and Self-Supporting? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
359,N/A ,3265,3267,3,None,"Student Unaccompanied and Homeless (General)? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
360,N/A ,3268,3270,3,None,"Student Unaccompanied and Homeless (HS)? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
361,N/A ,3271,3273,3,None,"Student Unaccompanied and Homeless (TRIO)? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
362,N/A ,3274,3276,3,None,"Student Unaccompanied and Homeless (FAA)? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
363,N/A ,3277,3279,3,Revised field name,"Student Homelessness: None of the above Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
364,N/A ,3280,3282,3,None,"Student Has Unusual Circumstance Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
365,N/A ,3283,3285,3,None,"Student Unsub Only Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
366,N/A ,3286,3288,3,None,"Student Updated Family Size Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
367,N/A ,3289,3291,3,None,"Student Number in College Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
368,N/A ,3292,3294,3,None,"Student Citizenship Status Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
369,N/A ,3295,3297,3,None,"Student A-Number Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
370,N/A ,3298,3300,3,None,"Student State of Legal Residence Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
371,N/A ,3301,3303,3,None,"Student Legal Residence Date Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
372,N/A ,3304,3306,3,None,"Student Either Parent Attend College Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
373,N/A ,3307,3309,3,None,"Student Parent Killed in the Line of Duty Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
374,N/A ,3310,3312,3,None,"Student High School Completion Status Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
375,N/A ,3313,3315,3,None,"Student High School Name Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
376,N/A ,3316,3318,3,None,"Student High School City Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
377,N/A ,3319,3321,3,None,"Student High School State Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
378,N/A ,3322,3324,3,None,"Student High School Equivalent Diploma Name Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
379,N/A ,3325,3327,3,None,"Student High School Equivalent Diploma State Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
380,N/A ,3328,3330,3,None,"Student Received EITC? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
381,N/A ,3331,3333,3,None,"Student Received Federal Housing Assistance? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
382,N/A ,3334,3336,3,None,"Student Received Free/Reduced Price Lunch? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
383,N/A ,3337,3339,3,None,"Student Received Medicaid? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
384,N/A ,3340,3342,3,None,"Student Received Refundable Credit for 36B Health Plan? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
385,N/A ,3343,3345,3,None,"Student Received SNAP? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
386,N/A ,3346,3348,3,None,"Student Received Supplemental Security Income? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
387,N/A ,3349,3351,3,None,"Student Received TANF? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
388,N/A ,3352,3354,3,None,"Student Received WIC? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
389,N/A ,3355,3357,3,None,"Student None of the above (Federal Benefits) Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
390,N/A ,3358,3360,3,None,"Student Filed 1040 or 1040NR? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
391,N/A ,3361,3363,3,None,"Student Filed Non-U.S. Tax Return? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
392,N/A ,3364,3366,3,None,"Student Filed Joint Return With Current Spouse? Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
393,N/A ,3367,3369,3,None,"Student Tax Return Filing Status Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
394,N/A ,3370,3372,3,None,"Student Income Earned from Work Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
395,N/A ,3373,3375,3,None,"Student Tax Exempt Interest Income Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
396,N/A ,3376,3378,3,None,"Student Untaxed Portions of IRA Distributions Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
397,N/A ,3379,3381,3,None,"Student IRA Rollover Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
398,N/A ,3382,3384,3,None,"Student Untaxed Portions of Pensions Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
399,N/A ,3385,3387,3,None,"Student Pension Rollover Correction, Highlight, and Verify Flags ","See description in the Correction, Highlight, and Verify Flags heading above.",
